Year-Month,Category,Subcategory,State,Region,Year,Month_Number,Price per Unit,Units Sold,Total Sales,Profit per Unit,Operating Margin,Total Operating Profit
2020-01,Apparel,Men's,Nevada,West,30300,15,769.0,1644,88085,475.57000000000005,9.280000000000001,51959.08000000001
2020-01,Apparel,Men's,New York,Northeast,18180,9,481.0,4258,238277,170.44,3.19,78058.22
2020-01,Apparel,Women's,Nevada,West,30300,15,811.0,3307,186061,221.18946666666668,4.04,45515.12
2020-01,Apparel,Women's,New York,Northeast,18180,9,399.0,4741,220858,120.83,2.73,61144.66
2020-01,Apparel,Women's,Pennsylvania,Northeast,6060,3,196.0,441,30668,68.7,1.05,10022.1
2020-01,Athletic Footwear,Men's,Nevada,West,24240,12,611.0,2534,134721,199.989375,3.93,40049.67
2020-01,Athletic Footwear,Men's,New York,Northeast,18180,9,401.0,4555,212738,143.69,3.23,70190.85
2020-01,Athletic Footwear,Men's,Pennsylvania,Northeast,6060,3,124.0,702,30123,38.38,0.9299999999999999,8432.01
2020-01,Athletic Footwear,Women's,Nevada,West,24240,12,588.0,1871,96783,246.5088333333333,5.029999999999999,38033.09
2020-01,Athletic Footwear,Women's,New York,Northeast,18180,9,362.0,3913,165346,147.05,3.65,62459.63
2020-01,Athletic Footwear,Women's,Pennsylvania,Northeast,6060,3,122.0,477,20301,51.19,1.26,7850.1
2020-01,Street Footwear,Men's,Nevada,West,24240,12,535.0,3482,162990,250.29000000000002,5.57,72033.79000000001
2020-01,Street Footwear,Men's,New York,Northeast,24240,12,524.0,7707,357210,287.53,6.58,187127.04
2020-01,Street Footwear,Men's,Pennsylvania,Northeast,6060,3,94.0,730,23920,41.660000000000004,1.33,10082.76
2020-01,Street Footwear,Women's,Nevada,West,24240,12,617.0,2604,139991,290.499,5.630000000000001,62077.91
2020-01,Street Footwear,Women's,New York,Northeast,18180,9,322.0,4660,174583,129.66,3.63,65677.75
2020-01,Street Footwear,Women's,Pennsylvania,Northeast,6060,3,122.0,707,30087,57.06,1.4100000000000001,13059.18
2020-02,Apparel,Men's,Nevada,West,24240,24,726.0,2679,171997,439.64000000000004,7.290000000000001,98897.50000000001
2020-02,Apparel,Men's,New York,Northeast,12120,12,326.0,2721,154019,118.36,2.1799999999999997,51218.59
2020-02,Apparel,Women's,Nevada,West,24240,24,845.0,3120,230462,222.64000000000001,3.16,54591.280000000006
2020-02,Apparel,Women's,New York,Northeast,6060,6,138.0,1521,72149,41.16,0.89,19696.43
2020-02,Athletic Footwear,Men's,Nevada,West,30300,30,891.0,4765,296253,266.27,4.49,80269.41
2020-02,Athletic Footwear,Men's,New York,Northeast,12120,12,274.0,2929,141800,95.27,2.09,45923.13
2020-02,Athletic Footwear,Women's,Nevada,West,30300,30,815.0,3349,191438,325.90999999999997,6.0,71369.98
