Year-Month,Category,Subcategory,State,Units Sold,Total Sales,Total Operating Profit
2020-01,Apparel,Men's,Nevada,1644,88085,51959.08000000001
2020-01,Apparel,Men's,New York,4258,238277,78058.22
2020-01,Apparel,Women's,Nevada,3307,186061,45515.12
2020-01,Apparel,Women's,New York,4741,220858,61144.66
2020-01,Apparel,Women's,Pennsylvania,441,30668,10022.1
2020-01,Athletic Footwear,Men's,Nevada,2534,134721,40049.67
2020-01,Athletic Footwear,Men's,New York,4555,212738,70190.85
2020-01,Athletic Footwear,Men's,Pennsylvania,702,30123,8432.01
2020-01,Athletic Footwear,Women's,Nevada,1871,96783,38033.09
2020-01,Athletic Footwear,Women's,New York,3913,165346,62459.63
2020-01,Athletic Footwear,Women's,Pennsylvania,477,20301,7850.1
2020-01,Street Footwear,Men's,Nevada,3482,162990,72033.79000000001
2020-01,Street Footwear,Men's,New York,7707,357210,187127.04
2020-01,Street Footwear,Men's,Pennsylvania,730,23920,10082.76
2020-01,Street Footwear,Women's,Nevada,2604,139991,62077.91
2020-01,Street Footwear,Women's,New York,4660,174583,65677.75
2020-01,Street Footwear,Women's,Pennsylvania,707,30087,13059.18
2020-02,Apparel,Men's,Nevada,2679,171997,98897.50000000001
2020-02,Apparel,Men's,New York,2721,154019,51218.59
2020-02,Apparel,Women's,Nevada,3120,230462,54591.280000000006
2020-02,Apparel,Women's,New York,1521,72149,19696.43
2020-02,Athletic Footwear,Men's,Nevada,4765,296253,80269.41
2020-02,Athletic Footwear,Men's,New York,2929,141800,45923.13
2020-02,Athletic Footwear,Women's,Nevada,3349,191438,71369.98
2020-02,Athletic Footwear,Women's,New York,2722,118500,44878.29
2020-02,Street Footwear,Men's,Nevada,5302,304054,128956.90000000001
2020-02,Street Footwear,Men's,New York,1903,106422,55929.6
2020-02,Street Footwear,Women's,Nevada,3919,231697,98504.1
2020-02,Street Footwear,Women's,New York,2916,122022,46612.979999999996
2020-03,Apparel,Men's,Colorado,728,35099,18388.62
2020-03,Apparel,Men's,Nevada,1718,110987,58307.070000000014
2020-03,Apparel,Men's,New York,2874,162506,53602.46
2020-03,Apparel,Women's,Colorado,1119,44028,7640.200000000001
2020-03,Apparel,Women's,Nevada,2179,151928,26981.760000000002
2020-03,Apparel,Women's,New York,5050,305412,85596.22
2020-03,Athletic Footwear,Men's,Colorado,1048,46593,10493.04
2020-03,Athletic Footwear,Men's,Nevada,2692,149639,34789.79
2020-03,Athletic Footwear,Men's,New York,4912,253066,83018.94
2020-03,Athletic Footwear,Women's,Colorado,737,34681,11389.8
2020-03,Athletic Footwear,Women's,Nevada,1857,94677,31322.16
2020-03,Athletic Footwear,Women's,New York,4361,204718,76642.4
2020-03,Street Footwear,Men's,Colorado,1371,47392,17840.660000000003
2020-03,Street Footwear,Men's,Nevada,2710,133741,50835.54000000001
2020-03,Street Footwear,Men's,New York,5941,334657,174243.17
2020-03,Street Footwear,Women's,Colorado,1064,49589,18885.49
2020-03,Street Footwear,Women's,Nevada,2099,105626,40156.57000000001
2020-03,Street Footwear,Women's,New York,4512,209860,79134.02
2020-04,Apparel,Men's,Colorado,2150,150393,94520.87000000001
2020-04,Apparel,Men's,Florida,1792,102185,38148.11
2020-04,Apparel,Men's,New York,4316,249771,82017.27
2020-04,Apparel,Women's,Colorado,2944,228546,63444.05
2020-04,Apparel,Women's,Florida,2081,114649,60461.78
2020-04,Apparel,Women's,New York,4970,308385,86429.95
2020-04,Athletic Footwear,Men's,Colorado,3295,223985,74070.24
2020-04,Athletic Footwear,Men's,Florida,2935,150835,57212.509999999995
2020-04,Athletic Footwear,Men's,New York,3180,164124,54208.47
2020-04,Athletic Footwear,Women's,Colorado,2531,161869,70181.26
2020-04,Athletic Footwear,Women's,Florida,1714,76757,25219.15
2020-04,Athletic Footwear,Women's,New York,2880,140418,52850.7
2020-04,Street Footwear,Men's,Colorado,4124,257517,123386.61
2020-04,Street Footwear,Men's,Florida,4016,211777,100646.41
2020-04,Street Footwear,Men's,New York,3820,219300,115771.08
2020-04,Street Footwear,Women's,Colorado,3115,207518,99297.47
2020-04,Street Footwear,Women's,Florida,1866,78207,21586.47
2020-04,Street Footwear,Women's,New York,2980,146844,55989.54
2020-05,Apparel,Men's,Colorado,1915,138140,79686.20000000003
2020-05,Apparel,Men's,Florida,977,62495,23570.05
2020-05,Apparel,Men's,New York,2849,173843,57866.46
2020-05,Apparel,Men's,Washington,323,17473,4889.47
2020-05,Apparel,Women's,Colorado,2778,209130,48356.05
2020-05,Apparel,Women's,Florida,1094,75266,39455.08
2020-05,Apparel,Women's,New York,1560,102674,28263.440000000002
2020-05,Apparel,Women's,Washington,625,30750,6782.5
2020-05,Athletic Footwear,Men's,Colorado,3633,225486,61914.86
2020-05,Athletic Footwear,Men's,Florida,1129,61079,22932.13
2020-05,Athletic Footwear,Men's,New York,1610,83630,27591.5
2020-05,Athletic Footwear,Women's,Colorado,2429,146437,53687.119999999995
2020-05,Athletic Footwear,Women's,Florida,984,53911,17640.48
2020-05,Athletic Footwear,Women's,New York,1431,74196,27932.4
2020-05,Street Footwear,Men's,Colorado,3619,203534,84204.2
2020-05,Street Footwear,Men's,Florida,1398,90224,42839.19
2020-05,Street Footwear,Men's,New York,1932,117504,62669.76
2020-05,Street Footwear,Women's,Colorado,2778,159095,63124.34
2020-05,Street Footwear,Women's,Florida,1073,58271,16115.27
2020-05,Street Footwear,Women's,New York,1568,81626,31115.199999999997
2020-06,Apparel,Men's,Washington,1499,104088,29048.22
2020-06,Apparel,Women's,Washington,2948,227367,51546.65
2020-06,Athletic Footwear,Men's,Washington,2880,189717,52411.49
2020-06,Athletic Footwear,Women's,Washington,2202,141375,45841.32
2020-06,Street Footwear,Men's,Washington,3800,224950,73465.99
2020-06,Street Footwear,Women's,Washington,2940,196694,54731.74
2020-07,Apparel,Men's,Texas,1665,61350,20155.66
2020-07,Apparel,Men's,Washington,2944,233346,64299.65
2020-07,Apparel,Women's,New York,1630,106040,29298.0
2020-07,Apparel,Women's,Texas,2254,74172,39554.9
2020-07,Apparel,Women's,Washington,2965,248379,56413.98
2020-07,Athletic Footwear,Men's,New York,1395,46170,17370.9
2020-07,Athletic Footwear,Men's,Texas,1394,44812,16990.989999999998
2020-07,Athletic Footwear,Men's,Washington,4092,302310,83131.78
2020-07,Athletic Footwear,Women's,New York,1085,36120,17245.9
2020-07,Athletic Footwear,Women's,Texas,1013,33363,16182.75
2020-07,Athletic Footwear,Women's,Washington,2919,209042,68089.51
2020-07,Street Footwear,Men's,New York,1404,33516,12620.519999999999
2020-07,Street Footwear,Men's,Texas,2753,70985,27050.6
2020-07,Street Footwear,Men's,Washington,5211,379720,122918.26
2020-07,Street Footwear,Women's,New York,1148,37856,14268.939999999999
2020-07,Street Footwear,Women's,Texas,1087,35629,13415.67
2020-07,Street Footwear,Women's,Washington,3260,229578,62469.6
2020-08,Apparel,Men's,Florida,2770,150575,56726.829999999994
2020-08,Apparel,Men's,Texas,4732,198576,64599.51
2020-08,Apparel,Men's,Washington,608,53656,14831.779999999999
2020-08,Apparel,Women's,Florida,3168,140013,73903.89
2020-08,Apparel,Women's,Texas,7062,294470,156237.21
2020-08,Apparel,Women's,Washington,725,67525,15311.0
2020-08,Athletic Footwear,Men's,Florida,1920,85335,32269.65
2020-08,Athletic Footwear,Men's,Texas,8749,348550,131148.8
2020-08,Athletic Footwear,Men's,Washington,2016,126076,39470.59
2020-08,Athletic Footwear,Women's,Florida,1644,64722,20945.68
2020-08,Athletic Footwear,Women's,Texas,5463,202740,97371.77
2020-08,Athletic Footwear,Women's,Washington,1563,89138,28769.84
2020-08,Street Footwear,Men's,Florida,2757,122355,58353.99
2020-08,Street Footwear,Men's,Texas,7412,249492,94067.79
2020-08,Street Footwear,Men's,Washington,1323,59262,27869.1
2020-08,Street Footwear,Women's,Florida,2032,69749,19130.05
2020-08,Street Footwear,Women's,Texas,6595,227752,86224.65
2020-08,Street Footwear,Women's,Washington,1768,91644,25416.16
2020-09,Apparel,Men's,Florida,3926,232834,88035.66
2020-09,Apparel,Men's,Texas,2962,126015,41406.36
2020-09,Apparel,Women's,Florida,4654,298498,157455.68
2020-09,Apparel,Women's,Texas,3949,198195,105174.68000000001
2020-09,Athletic Footwear,Men's,Florida,4422,240270,89074.75
2020-09,Athletic Footwear,Men's,Texas,2582,107623,40194.119999999995
2020-09,Athletic Footwear,Women's,Florida,3943,190495,61945.57
2020-09,Athletic Footwear,Women's,Texas,3032,131693,62811.21
2020-09,Street Footwear,Men's,Florida,5482,331977,158042.65
2020-09,Street Footwear,Men's,Texas,2681,113174,43600.619999999995
2020-09,Street Footwear,Women's,Florida,4079,206910,56612.86
2020-09,Street Footwear,Women's,Texas,4413,190002,71554.53
2020-10,Apparel,Men's,Florida,1834,114003,43389.0
2020-10,Apparel,Men's,Minnesota,383,16979,5543.69
2020-10,Apparel,Men's,Texas,2067,85878,28548.0
2020-10,Apparel,Women's,Florida,2111,139914,73293.75
2020-10,Apparel,Women's,Minnesota,605,20915,9861.55
2020-10,Apparel,Women's,Texas,2853,147942,78660.02
2020-10,Athletic Footwear,Men's,Florida,1339,61871,22751.48
2020-10,Athletic Footwear,Men's,Minnesota,348,12872,4188.4
2020-10,Athletic Footwear,Men's,Texas,3017,127047,48826.35
2020-10,Athletic Footwear,Women's,Florida,1985,95592,31473.02
2020-10,Athletic Footwear,Women's,Minnesota,95,2790,1041.3000000000002
2020-10,Athletic Footwear,Women's,Texas,2200,102888,49329.22
2020-10,Street Footwear,Men's,Florida,1800,92237,41707.97
2020-10,Street Footwear,Men's,Minnesota,1196,44144,16561.0
2020-10,Street Footwear,Men's,Texas,2925,122906,46502.52
2020-10,Street Footwear,Women's,Florida,2210,101107,28448.75
2020-10,Street Footwear,Women's,Minnesota,484,13187,4354.65
2020-10,Street Footwear,Women's,Texas,2715,126295,47861.689999999995
2020-11,Apparel,Men's,California,1714,87840,46505.49
2020-11,Apparel,Men's,Minnesota,706,35472,11501.779999999999
2020-11,Apparel,Women's,California,2333,108857,19546.99
2020-11,Apparel,Women's,Minnesota,1555,79237,37537.0
2020-11,Athletic Footwear,Men's,California,2280,116303,26107.97
2020-11,Athletic Footwear,Men's,Minnesota,1308,56503,18380.37
2020-11,Athletic Footwear,Men's,Texas,1217,56440,12579.18
2020-11,Athletic Footwear,Women's,California,915,43210,14105.4
2020-11,Athletic Footwear,Women's,Minnesota,548,20294,7660.3600000000015
2020-11,Athletic Footwear,Women's,Texas,1019,47315,15494.4
2020-11,Street Footwear,Men's,California,2689,112905,42839.520000000004
2020-11,Street Footwear,Men's,Minnesota,2984,139956,52537.600000000006
2020-11,Street Footwear,Men's,Texas,1248,46653,17418.65
2020-11,Street Footwear,Women's,California,2281,118769,45537.21000000001
2020-11,Street Footwear,Women's,Minnesota,1092,40620,13244.81
2020-11,Street Footwear,Women's,Texas,1263,57675,21810.460000000003
2020-12,Apparel,Men's,California,1650,100679,53645.76
2020-12,Apparel,Men's,Minnesota,823,38772,12544.96
2020-12,Apparel,Women's,California,2303,149191,26603.22
2020-12,Apparel,Women's,Minnesota,1563,81020,38667.93
2020-12,Athletic Footwear,Men's,California,1094,67477,15304.800000000001
2020-12,Athletic Footwear,Men's,Minnesota,1788,74137,24245.79
2020-12,Athletic Footwear,Women's,California,1979,112560,36753.479999999996
2020-12,Athletic Footwear,Women's,Minnesota,1316,51520,20410.43
2020-12,Street Footwear,Men's,California,2796,156100,62378.36
2020-12,Street Footwear,Men's,Minnesota,2670,120444,47239.89000000001
2020-12,Street Footwear,Women's,California,1189,72249,27770.510000000002
2020-12,Street Footwear,Women's,Minnesota,1374,55045,21736.9
2021-01,Apparel,Men's,Alaska,221,10866,1947.3
2021-01,Apparel,Men's,Arizona,449,20452,6748.74
2021-01,Apparel,Men's,Arkansas,446,14358,5546.88
2021-01,Apparel,Men's,California,5429,340637,182347.01
2021-01,Apparel,Men's,Connecticut,202,8573,2806.86
2021-01,Apparel,Men's,Delaware,222,9802,3133.3
2021-01,Apparel,Men's,Florida,908,45613,17222.93
2021-01,Apparel,Men's,Georgia,1161,53778,20234.059999999998
2021-01,Apparel,Men's,Hawaii,293,16047,3576.6000000000004
2021-01,Apparel,Men's,Idaho,356,15151,5037.4
2021-01,Apparel,Men's,Indiana,254,11213,4728.740000000001
2021-01,Apparel,Men's,Iowa,195,7710,4060.2
2021-01,Apparel,Men's,Kansas,219,10861,4054.7899999999995
2021-01,Apparel,Men's,Kentucky,540,21370,8047.6
2021-01,Apparel,Men's,Louisiana,521,19168,5252.4400000000005
2021-01,Apparel,Men's,Maryland,284,14141,4589.22
2021-01,Apparel,Men's,Massachusetts,363,18501,7055.07
2021-01,Apparel,Men's,Michigan,423,16822,6422.78
2021-01,Apparel,Men's,Mississippi,568,18678,7053.139999999999
2021-01,Apparel,Men's,Missouri,473,16359,6113.73
2021-01,Apparel,Men's,Montana,1813,84996,53322.69000000001
2021-01,Apparel,Men's,New Hampshire,318,19440,5344.8
2021-01,Apparel,Men's,New Jersey,260,12940,4205.4
2021-01,Apparel,Men's,New Mexico,388,16458,6149.849999999999
2021-01,Apparel,Men's,New York,645,32105,10697.25
2021-01,Apparel,Men's,North Carolina,603,27007,10297.25
2021-01,Apparel,Men's,North Dakota,192,7596,4005.48
2021-01,Apparel,Men's,Ohio,252,12391,4623.889999999999
2021-01,Apparel,Men's,Oklahoma,403,13359,5102.34
2021-01,Apparel,Men's,Oregon,326,14912,7218.56
2021-01,Apparel,Men's,Rhode Island,238,11301,3229.08
2021-01,Apparel,Men's,South Carolina,781,34677,12857.67
2021-01,Apparel,Men's,South Dakota,224,9981,3788.33
2021-01,Apparel,Men's,Utah,247,10453,4569.7
2021-01,Apparel,Men's,Vermont,355,19986,6553.82
2021-01,Apparel,Men's,Virginia,712,29696,12717.919999999998
2021-01,Apparel,Men's,West Virginia,158,7011,2283.48
2021-01,Apparel,Men's,Wisconsin,258,11377,3746.0199999999995
2021-01,Apparel,Men's,Wyoming,195,8640,3663.9
2021-01,Apparel,Women's,Alaska,932,45159,17180.52
2021-01,Apparel,Women's,Arizona,769,32727,8892.630000000001
2021-01,Apparel,Women's,Arkansas,600,13930,5962.36
2021-01,Apparel,Women's,California,6227,451161,86680.14
2021-01,Apparel,Women's,Connecticut,360,11826,5152.5
2021-01,Apparel,Women's,Delaware,344,11902,5102.35
2021-01,Apparel,Women's,Florida,1047,44729,23912.85
2021-01,Apparel,Women's,Georgia,1345,50273,26273.7
2021-01,Apparel,Women's,Hawaii,599,29826,14272.34
2021-01,Apparel,Women's,Idaho,676,24776,6669.2
2021-01,Apparel,Women's,Indiana,375,13050,5475.0
2021-01,Apparel,Women's,Iowa,323,9544,4124.2
2021-01,Apparel,Women's,Kansas,347,13664,5865.2
2021-01,Apparel,Women's,Kentucky,683,20332,10715.84
2021-01,Apparel,Women's,Louisiana,765,24868,12088.95
2021-01,Apparel,Women's,Maryland,406,15916,6687.16
2021-01,Apparel,Women's,Massachusetts,527,22473,9569.599999999999
2021-01,Apparel,Women's,Michigan,548,16317,8622.21
2021-01,Apparel,Women's,Mississippi,730,16900,7182.04
2021-01,Apparel,Women's,Missouri,613,15187,8057.18
2021-01,Apparel,Women's,Montana,2653,132682,36879.92
2021-01,Apparel,Women's,New Hampshire,483,25017,8223.0
2021-01,Apparel,Women's,New Jersey,381,14997,5698.5
2021-01,Apparel,Women's,New Mexico,707,26132,7397.08
2021-01,Apparel,Women's,New York,756,29928,8371.2
2021-01,Apparel,Women's,North Carolina,748,25661,13660.9
2021-01,Apparel,Women's,North Dakota,325,9600,4092.0
2021-01,Apparel,Women's,Ohio,381,14997,6418.38
2021-01,Apparel,Women's,Oklahoma,571,13119,4984.01
2021-01,Apparel,Women's,Oregon,712,30012,11392.46
2021-01,Apparel,Women's,Rhode Island,403,14818,4824.32
2021-01,Apparel,Women's,South Carolina,921,32039,16952.46
2021-01,Apparel,Women's,South Dakota,347,12001,5061.76
2021-01,Apparel,Women's,Utah,640,23908,7867.8
2021-01,Apparel,Women's,Vermont,514,24097,9041.9
2021-01,Apparel,Women's,Virginia,881,28629,16482.72
2021-01,Apparel,Women's,West Virginia,284,9822,3141.3
2021-01,Apparel,Women's,Wisconsin,384,13188,5544.0
2021-01,Apparel,Women's,Wyoming,516,20408,6783.6
2021-01,Athletic Footwear,Men's,Alaska,484,21562,4921.71
2021-01,Athletic Footwear,Men's,Arizona,760,31581,13694.58
2021-01,Athletic Footwear,Men's,Arkansas,608,14332,5355.66
2021-01,Athletic Footwear,Men's,California,8236,495112,112106.45
2021-01,Athletic Footwear,Men's,Connecticut,367,12229,4604.95
2021-01,Athletic Footwear,Men's,Delaware,352,12166,4563.02
2021-01,Athletic Footwear,Men's,Florida,1060,45522,17328.42
2021-01,Athletic Footwear,Men's,Georgia,1287,48302,18051.899999999998
2021-01,Athletic Footwear,Men's,Hawaii,548,27154,7378.9
2021-01,Athletic Footwear,Men's,Idaho,671,25122,10606.220000000001
2021-01,Athletic Footwear,Men's,Indiana,375,12900,5520.0
2021-01,Athletic Footwear,Men's,Iowa,320,9530,3558.8
2021-01,Athletic Footwear,Men's,Kansas,355,13960,4484.0
2021-01,Athletic Footwear,Men's,Kentucky,667,19868,7365.6
2021-01,Athletic Footwear,Men's,Louisiana,1080,29918,10049.4
2021-01,Athletic Footwear,Men's,Maine,484,21344,4849.77
2021-01,Athletic Footwear,Men's,Maryland,406,16078,6089.0
2021-01,Athletic Footwear,Men's,Massachusetts,526,22425,10837.529999999999
2021-01,Athletic Footwear,Men's,Michigan,548,16317,6138.99
2021-01,Athletic Footwear,Men's,Mississippi,716,16955,6383.249999999999
2021-01,Athletic Footwear,Men's,Missouri,608,14934,5593.98
2021-01,Athletic Footwear,Men's,Montana,2767,122619,40018.28
2021-01,Athletic Footwear,Men's,New Hampshire,477,24048,9088.2
2021-01,Athletic Footwear,Men's,New Jersey,387,15219,6473.88
2021-01,Athletic Footwear,Men's,New Mexico,725,27045,11661.75
2021-01,Athletic Footwear,Men's,New York,756,30084,9937.8
2021-01,Athletic Footwear,Men's,North Carolina,725,25075,9518.75
2021-01,Athletic Footwear,Men's,North Dakota,320,9530,3558.8
2021-01,Athletic Footwear,Men's,Ohio,378,14964,5593.08
2021-01,Athletic Footwear,Men's,Oklahoma,546,12523,4726.47
2021-01,Athletic Footwear,Men's,Oregon,624,26044,11159.359999999999
2021-01,Athletic Footwear,Men's,Rhode Island,406,15048,4974.72
2021-01,Athletic Footwear,Men's,South Carolina,906,31529,11958.25
2021-01,Athletic Footwear,Men's,South Dakota,349,11993,3929.42
2021-01,Athletic Footwear,Men's,Utah,578,21662,8333.35
2021-01,Athletic Footwear,Men's,Vermont,527,24674,10531.82
2021-01,Athletic Footwear,Men's,Virginia,891,29722,12831.279999999999
2021-01,Athletic Footwear,Men's,West Virginia,293,10187,3842.89
2021-01,Athletic Footwear,Men's,Wisconsin,378,12996,5472.96
2021-01,Athletic Footwear,Men's,Wyoming,455,17780,6638.8
2021-01,Athletic Footwear,Women's,Alaska,281,12533,3374.05
2021-01,Athletic Footwear,Women's,Arizona,511,21310,8061.1
2021-01,Athletic Footwear,Women's,Arkansas,364,6632,2857.16
2021-01,Athletic Footwear,Women's,California,5752,322563,108747.60999999999
2021-01,Athletic Footwear,Women's,Connecticut,119,3406,1472.3600000000001
2021-01,Athletic Footwear,Women's,Delaware,163,4776,2013.0
2021-01,Athletic Footwear,Women's,Florida,815,30465,10086.65
2021-01,Athletic Footwear,Women's,Georgia,1087,35752,11953.13
2021-01,Athletic Footwear,Women's,Hawaii,352,17369,5753.549999999999
2021-01,Athletic Footwear,Women's,Idaho,440,16566,6172.759999999999
2021-01,Athletic Footwear,Women's,Indiana,195,5805,2504.7
2021-01,Athletic Footwear,Women's,Iowa,129,3167,1050.15
2021-01,Athletic Footwear,Women's,Kansas,161,5599,1802.1
2021-01,Athletic Footwear,Women's,Kentucky,476,11698,4981.1900000000005
2021-01,Athletic Footwear,Women's,Louisiana,774,25330,10788.89
2021-01,Athletic Footwear,Women's,Maine,284,12662,3520.6800000000003
2021-01,Athletic Footwear,Women's,Maryland,222,7629,3277.2
2021-01,Athletic Footwear,Women's,Massachusetts,272,10253,3890.27
2021-01,Athletic Footwear,Women's,Michigan,352,8723,3710.96
2021-01,Athletic Footwear,Women's,Mississippi,480,8808,3808.6800000000003
2021-01,Athletic Footwear,Women's,Missouri,413,8084,3423.6800000000003
2021-01,Athletic Footwear,Women's,Montana,2119,87873,37443.479999999996
2021-01,Athletic Footwear,Women's,New Hampshire,240,11093,3053.06
2021-01,Athletic Footwear,Women's,New Jersey,192,6636,2184.84
2021-01,Athletic Footwear,Women's,New Mexico,474,17697,7426.74
2021-01,Athletic Footwear,Women's,New York,581,20204,7605.879999999999
2021-01,Athletic Footwear,Women's,North Carolina,548,16317,6954.84
2021-01,Athletic Footwear,Women's,North Dakota,126,3124,1030.8
2021-01,Athletic Footwear,Women's,Ohio,192,6678,2814.0
2021-01,Athletic Footwear,Women's,Oklahoma,326,6184,2369.36
2021-01,Athletic Footwear,Women's,Oregon,396,16690,7253.32
2021-01,Athletic Footwear,Women's,Rhode Island,159,5209,1466.67
2021-01,Athletic Footwear,Women's,South Carolina,748,22267,9659.35
2021-01,Athletic Footwear,Women's,South Dakota,158,4674,1540.8
2021-01,Athletic Footwear,Women's,Utah,326,12302,4615.72
2021-01,Athletic Footwear,Women's,Vermont,281,12012,3844.6
