Units Sold,Total Sales,Total Operating Profit,Price per Unit,Profit per Unit
2430,91281,37439.09,37.5641975308642,15.407032921810698
4189,137378,84329.45000000001,32.794939126283126,20.131164955836717
4146,111112,51292.10999999999,26.799807042932947,12.371468885672936
2561,75010,42567.020000000004,29.289340101522843,16.62124951190941
5334,129994,60823.75,24.3708286464192,11.403027746531684
3084,65817,30407.159999999996,21.341439688715955,9.85964980544747
3370,149180,70063.26,44.26706231454006,20.79028486646884
5460,265670,177267.67000000004,48.65750915750916,32.46660622710623
5431,247776,128371.95999999999,45.62253728595102,23.636891916774072
3682,161302,99904.56000000001,43.80825638240087,27.1332319391635
5323,191497,100858.10999999999,35.975389817771934,18.947606612812322
5880,267548,139358.3,45.50136054421769,23.700391156462583
1485,76700,36475.409999999996,51.64983164983165,24.562565656565653
2179,135392,92769.72000000002,62.134924277191374,42.57444699403397
2655,103471,52417.70999999999,38.97212806026366,19.74301694915254
1760,90871,55831.170000000006,51.63125,31.722255681818186
1955,96814,47649.84,49.521227621483376,24.373319693094626
2403,116607,60378.299999999996,48.52559300873908,25.12621722846442
221,10866,1947.3,49.16742081447964,8.81131221719457
932,45159,17180.52,48.4538626609442,18.43403433476395
484,21562,4921.71,44.549586776859506,10.168822314049587
281,12533,3374.05,44.60142348754449,12.007295373665482
484,16722,4648.110000000001,34.549586776859506,9.60353305785124
488,21508,5886.63,44.07377049180328,12.062766393442622
325,20750,5772.5,63.84615384615385,17.76153846153846
452,24554,8108.76,54.323008849557525,17.939734513274338
763,36811,10676.970000000001,48.24508519003932,13.993407601572741
221,11003,3066.31,49.78733031674208,13.874705882352941
1366,61792,21070.65,45.23572474377745,15.425073206442168
821,36697,10026.53,44.6979293544458,12.212582216808771
228,14767,4166.63,64.76754385964912,18.27469298245614
347,18941,6063.9,54.585014409221905,17.47521613832853
315,17130,6502.500000000001,54.38095238095238,20.642857142857146
161,8013,2232.57,49.77018633540373,13.866894409937888
698,38084,14464.660000000002,54.561604584527224,20.723008595988542
344,15204,4140.48,44.19767441860465,12.03627906976744
191,11296,3099.52,59.1413612565445,16.22785340314136
384,19116,6311.04,49.78125,16.435
286,15425,5856.25,53.93356643356643,20.4763986013986
194,9567,2639.91,49.31443298969072,13.607783505154638
656,35949,13360.29,54.80030487804878,20.366295731707318
286,12809,3604.8500000000004,44.78671328671329,12.604370629370631
344,22153,6094.39,64.39825581395348,17.716250000000002
500,34700,11147.0,69.4,22.294
347,20532,7589.4000000000015,59.170028818443804,21.87146974063401
313,16963,4658.4400000000005,54.194888178913736,14.883194888178915
730,46490,17687.5,63.68493150684932,24.22945205479452
384,20952,5905.8,54.5625,15.379687500000001
384,24540,6689.4,63.90625,17.420312499999998
576,39942,12995.64,69.34375,22.561875
512,30160,11480.0,58.90625,22.421875
390,21270,5842.2,54.53846153846154,14.979999999999999
839,53401,19916.960000000003,63.64839094159714,23.738927294398096
406,22168,6014.23,54.600985221674875,14.813374384236452
416,26676,7446.139999999999,64.125,17.899375
630,43710,14419.5,69.38095238095238,22.88809523809524
