Invoice Date,Year,Month_Number,Month_Name,Region,State,City,Category,Subcategory,Product,Price per Unit,Units Sold,Total Sales,Profit per Unit,Operating Margin,Total Operating Profit,Year-Month
2020-01-01,2020,1,Jan,Northeast,New York,New York,Street Footwear,Men's,Men's Street Footwear,50.0,1200,60000,25.0,0.5,30000.0,2020-01
2020-01-02,2020,1,Jan,Northeast,New York,New York,Athletic Footwear,Men's,Men's Athletic Footwear,50.0,1000,50000,15.0,0.3,15000.0,2020-01
2020-01-03,2020,1,Jan,Northeast,New York,New York,Street Footwear,Women's,Women's Street Footwear,40.0,1000,40000,14.0,0.35,14000.0,2020-01
2020-01-04,2020,1,Jan,Northeast,New York,New York,Athletic Footwear,Women's,Women's Athletic Footwear,45.0,850,38250,15.75,0.35,13387.5,2020-01
2020-01-05,2020,1,Jan,Northeast,New York,New York,Apparel,Men's,Men's Apparel,60.0,900,54000,18.0,0.3,16200.0,2020-01
2020-01-06,2020,1,Jan,Northeast,New York,New York,Apparel,Women's,Women's Apparel,50.0,1000,50000,12.5,0.25,12500.0,2020-01
2020-01-07,2020,1,Jan,Northeast,New York,New York,Street Footwear,Men's,Men's Street Footwear,50.0,1250,62500,25.0,0.5,31250.0,2020-01
2020-01-08,2020,1,Jan,Northeast,New York,New York,Athletic Footwear,Men's,Men's Athletic Footwear,50.0,900,45000,15.0,0.3,13500.0,2020-01
2020-01-21,2020,1,Jan,Northeast,New York,New York,Street Footwear,Women's,Women's Street Footwear,40.0,950,38000,14.0,0.35,13300.0,2020-01
2020-01-22,2020,1,Jan,Northeast,New York,New York,Athletic Footwear,Women's,Women's Athletic Footwear,45.0,825,37125,15.75,0.35,12993.75,2020-01
2020-01-23,2020,1,Jan,Northeast,New York,New York,Apparel,Men's,Men's Apparel,60.0,900,54000,18.0,0.3,16200.0,2020-01
2020-01-24,2020,1,Jan,Northeast,New York,New York,Apparel,Women's,Women's Apparel,50.0,1000,50000,12.5,0.25,12500.0,2020-01
2020-01-25,2020,1,Jan,Northeast,New York,New York,Street Footwear,Men's,Men's Street Footwear,50.0,1220,61000,25.0,0.5,30500.0,2020-01
2020-01-26,2020,1,Jan,Northeast,New York,New York,Athletic Footwear,Men's,Men's Athletic Footwear,50.0,925,46250,15.0,0.3,13875.0,2020-01
2020-01-27,2020,1,Jan,Northeast,New York,New York,Street Footwear,Women's,Women's Street Footwear,40.0,950,38000,14.0,0.35,13300.0,2020-01
2020-01-28,2020,1,Jan,Northeast,New York,New York,Athletic Footwear,Women's,Women's Athletic Footwear,45.0,800,36000,15.75,0.35,12600.0,2020-01
2020-01-29,2020,1,Jan,Northeast,New York,New York,Apparel,Men's,Men's Apparel,60.0,850,51000,18.0,0.3,15300.0,2020-01
2020-01-30,2020,1,Jan,Northeast,New York,New York,Apparel,Women's,Women's Apparel,50.0,950,47500,12.5,0.25,11875.0,2020-01
2020-01-31,2020,1,Jan,Northeast,New York,New York,Street Footwear,Men's,Men's Street Footwear,50.0,1200,60000,25.0,0.5,30000.0,2020-01
2020-02-01,2020,2,Feb,Northeast,New York,New York,Athletic Footwear,Men's,Men's Athletic Footwear,50.0,900,45000,15.0,0.3,13500.0,2020-02
2020-02-02,2020,2,Feb,Northeast,New York,New York,Street Footwear,Women's,Women's Street Footwear,40.0,900,36000,14.0,0.35,12600.0,2020-02
2020-02-03,2020,2,Feb,Northeast,New York,New York,Athletic Footwear,Women's,Women's Athletic Footwear,45.0,825,37125,15.75,0.35,12993.75,2020-02
2020-02-04,2020,2,Feb,Northeast,New York,New York,Apparel,Men's,Men's Apparel,60.0,825,49500,18.0,0.3,14850.0,2020-02
2020-02-05,2020,2,Feb,Northeast,New York,New York,Apparel,Women's,Women's Apparel,50.0,950,47500,12.5,0.25,11875.0,2020-02
2020-02-06,2020,2,Feb,Northeast,New York,New York,Street Footwear,Men's,Men's Street Footwear,60.0,1220,73200,30.0,0.5,36600.0,2020-02
2020-02-07,2020,2,Feb,Northeast,New York,New York,Athletic Footwear,Men's,Men's Athletic Footwear,55.00000000000001,925,50875,16.5,0.3,15262.5,2020-02
2020-02-08,2020,2,Feb,Northeast,New York,New York,Street Footwear,Women's,Women's Street Footwear,50.0,900,45000,17.499999999999996,0.35,15749.999999999998,2020-02
