State,Year,Region,Month,Gender,Product,Units Sold,Total Sales
Alabama,2021,South,8,Men's,Apparel,2430,91281
Alabama,2021,South,8,Men's,Athletic Footwear,4146,111112
Alabama,2021,South,8,Men's,Street Footwear,5334,129994
Alabama,2021,South,8,Women's,Apparel,4189,137378
Alabama,2021,South,8,Women's,Athletic Footwear,2561,75010
Alabama,2021,South,8,Women's,Street Footwear,3084,65817
Alabama,2021,South,9,Men's,Apparel,3370,149180
Alabama,2021,South,9,Men's,Athletic Footwear,5431,247776
Alabama,2021,South,9,Men's,Street Footwear,5323,191497
Alabama,2021,South,9,Women's,Apparel,5460,265670
Alabama,2021,South,9,Women's,Athletic Footwear,3682,161302
Alabama,2021,South,9,Women's,Street Footwear,5880,267548
Alabama,2021,South,10,Men's,Apparel,1485,76700
Alabama,2021,South,10,Men's,Athletic Footwear,2655,103471
Alabama,2021,South,10,Men's,Street Footwear,1955,96814
Alabama,2021,South,10,Women's,Apparel,2179,135392
Alabama,2021,South,10,Women's,Athletic Footwear,1760,90871
Alabama,2021,South,10,Women's,Street Footwear,2403,116607
Alaska,2021,West,1,Men's,Apparel,221,10866
Alaska,2021,West,1,Men's,Athletic Footwear,484,21562
Alaska,2021,West,1,Men's,Street Footwear,484,16722
Alaska,2021,West,1,Women's,Apparel,932,45159
Alaska,2021,West,1,Women's,Athletic Footwear,281,12533
Alaska,2021,West,1,Women's,Street Footwear,488,21508
Alaska,2021,West,2,Men's,Apparel,325,20750
Alaska,2021,West,2,Men's,Athletic Footwear,763,36811
Alaska,2021,West,2,Men's,Street Footwear,1366,61792
Alaska,2021,West,2,Women's,Apparel,452,24554
Alaska,2021,West,2,Women's,Athletic Footwear,221,11003
Alaska,2021,West,2,Women's,Street Footwear,821,36697
Alaska,2021,West,3,Men's,Apparel,228,14767
Alaska,2021,West,3,Men's,Athletic Footwear,315,17130
Alaska,2021,West,3,Men's,Street Footwear,698,38084
Alaska,2021,West,3,Women's,Apparel,347,18941
Alaska,2021,West,3,Women's,Athletic Footwear,161,8013
Alaska,2021,West,3,Women's,Street Footwear,344,15204
Alaska,2021,West,4,Men's,Apparel,191,11296
Alaska,2021,West,4,Men's,Athletic Footwear,286,15425
Alaska,2021,West,4,Men's,Street Footwear,656,35949
Alaska,2021,West,4,Women's,Apparel,384,19116
Alaska,2021,West,4,Women's,Athletic Footwear,194,9567
Alaska,2021,West,4,Women's,Street Footwear,286,12809
Alaska,2021,West,5,Men's,Apparel,344,22153
Alaska,2021,West,5,Men's,Athletic Footwear,347,20532
Alaska,2021,West,5,Men's,Street Footwear,730,46490
Alaska,2021,West,5,Women's,Apparel,500,34700
Alaska,2021,West,5,Women's,Athletic Footwear,313,16963
Alaska,2021,West,5,Women's,Street Footwear,384,20952
Alaska,2021,West,6,Men's,Apparel,384,24540
Alaska,2021,West,6,Men's,Athletic Footwear,512,30160
Alaska,2021,West,6,Men's,Street Footwear,839,53401
Alaska,2021,West,6,Women's,Apparel,576,39942
Alaska,2021,West,6,Women's,Athletic Footwear,390,21270
Alaska,2021,West,6,Women's,Street Footwear,406,22168
Alaska,2021,West,7,Men's,Apparel,416,26676
Alaska,2021,West,7,Men's,Athletic Footwear,536,32049
Alaska,2021,West,7,Men's,Street Footwear,857,55341
Alaska,2021,West,7,Women's,Apparel,630,43710
Alaska,2021,West,7,Women's,Athletic Footwear,375,20325
Alaska,2021,West,7,Women's,Street Footwear,452,24656
Alaska,2021,West,8,Men's,Apparel,290,18655
Alaska,2021,West,8,Men's,Athletic Footwear,531,31436
Alaska,2021,West,8,Men's,Street Footwear,813,51867
Alaska,2021,West,8,Women's,Apparel,504,34968
Alaska,2021,West,8,Women's,Athletic Footwear,318,17354
Alaska,2021,West,8,Women's,Street Footwear,452,24758
Alaska,2021,West,9,Men's,Apparel,260,16720
Alaska,2021,West,9,Men's,Athletic Footwear,416,24505
Alaska,2021,West,9,Men's,Street Footwear,656,42509
Alaska,2021,West,9,Women's,Apparel,384,26376
Alaska,2021,West,9,Women's,Athletic Footwear,256,13800
Alaska,2021,West,9,Women's,Street Footwear,284,15325
Alaska,2021,West,10,Men's,Apparel,194,14374
Alaska,2021,West,10,Men's,Athletic Footwear,352,22495
Alaska,2021,West,10,Men's,Street Footwear,563,39184
Alaska,2021,West,10,Women's,Apparel,358,28059
Alaska,2021,West,10,Women's,Athletic Footwear,192,12228
Alaska,2021,West,10,Women's,Street Footwear,221,14089
Alaska,2021,West,11,Men's,Apparel,358,26352
Alaska,2021,West,11,Men's,Athletic Footwear,381,24279
Alaska,2021,West,11,Men's,Street Footwear,548,40239
Alaska,2021,West,11,Women's,Apparel,476,37474
Alaska,2021,West,11,Women's,Athletic Footwear,390,25080
Alaska,2021,West,11,Women's,Street Footwear,413,26287
Alaska,2021,West,12,Men's,Athletic Footwear,512,32720
