Region,Average Temp,Total Sales
Midwest,13.4,18477.0
Midwest,15.4,12103.0
Midwest,18.2,12145.0
Northeast,19.6,40250.0
Midwest,19.6,23142.0
Midwest,20.2,282787.0
West,20.4,62427.0
Midwest,20.8,14810.0
Midwest,21.2,49220.0
Northeast,21.8,52806.0
Midwest,22.2,41761.0
Northeast,22.8,74844.0
Midwest,23.4,39545.0
Midwest,23.8,10370.0
Northeast,23.8,44083.0
West,24.0,29048.0
Northeast,24.8,32477.0
West,24.8,56527.0
Midwest,24.9,127844.0
Northeast,25.5,44457.0
Midwest,25.6,17254.0
West,26.0,39172.0
Midwest,26.1,18890.0
Northeast,26.4,40239.0
West,26.4,39927.0
Midwest,26.8,33139.0
Northeast,26.9,62033.0
Midwest,27.1,18801.0
Midwest,27.1,42261.0
Midwest,27.4,21982.0
Midwest,27.4,11952.0
West,27.6,34361.0
Midwest,27.6,217678.0
Midwest,28.0,45899.0
Northeast,28.2,26626.0
Northeast,28.4,65706.0
Northeast,28.8,33862.0
Midwest,29.0,50019.0
Midwest,29.3,47102.0
Northeast,29.8,115092.0
West,30.0,36519.0
West,30.2,36793.0
Northeast,31.0,40974.0
Northeast,31.2,20519.0
Northeast,31.2,80952.0
West,31.3,81074.0
Midwest,31.4,39099.0
Northeast,31.4,20399.0
West,31.6,108884.0
Midwest,32.0,24263.0
Northeast,32.0,26888.0
Midwest,32.2,27388.0
Northeast,32.4,93612.0
Northeast,32.9,21795.0
Northeast,33.0,19664.0
Midwest,33.2,92731.0
Northeast,33.4,16833.0
Northeast,33.6,26119.0
Northeast,33.9,26678.0
Southeast,34.0,27633.0
West,34.2,27486.0
West,34.5,44924.0
Midwest,34.8,16184.0
Northeast,34.8,106483.0
Northeast,34.8,16913.0
Midwest,35.0,37015.0
West,35.0,42590.0
Midwest,35.0,56071.0
West,35.0,53596.0
West,35.3,35210.0
Northeast,35.4,27937.0
Northeast,35.6,14287.0
South,35.6,23672.0
Midwest,35.6,43297.0
Northeast,35.8,30997.0
Midwest,36.0,14307.0
West,36.1,41702.0
West,36.2,31057.0
Southeast,36.5,41702.0
Southeast,36.6,27640.0
Northeast,36.8,30057.0
West,36.8,56283.0
Northeast,37.0,33061.0
Midwest,37.2,30043.0
West,37.2,129305.0
Southeast,37.5,58325.0
Northeast,38.0,21704.0
South,38.0,30265.0
Northeast,38.1,16914.0
Northeast,38.2,40052.0
Midwest,38.2,22322.0
Northeast,38.4,304704.0
West,38.4,38942.0
Northeast,38.6,23282.0
Northeast,39.0,70082.0
West,40.2,76773.0
Midwest,40.2,55975.0
South,40.4,26478.0
Northeast,40.4,65721.0
Midwest,40.4,110575.0
Midwest,40.6,31569.0
Northeast,40.7,12063.0
Northeast,40.8,52227.0
West,40.9,95995.0
Midwest,40.9,21669.0
Midwest,41.0,52024.0
West,41.0,46877.0
Southeast,41.4,52668.0
Southeast,41.4,24517.0
Southeast,41.4,61807.0
Northeast,41.5,24812.0
Midwest,41.5,21802.0
