Region,Average Temp,Total Sales
Midwest,13.4,24124.0
Midwest,15.4,32692.0
Midwest,18.2,24260.0
Northeast,19.6,63630.0
Midwest,19.6,30800.0
Midwest,20.2,303811.0
West,20.4,33983.0
Midwest,20.8,24300.0
Midwest,21.2,35175.0
Northeast,21.8,66516.0
Midwest,22.2,54411.0
Northeast,22.8,63453.0
Midwest,23.4,54254.0
Northeast,23.8,57457.0
Midwest,23.8,14860.0
West,24.0,30688.0
Northeast,24.4,37577.0
Northeast,24.8,51446.0
West,24.8,62671.0
Midwest,24.9,101662.0
Northeast,25.5,61905.0
Midwest,25.6,23198.0
West,26.0,44260.0
Midwest,26.1,32979.0
Northeast,26.4,62127.0
West,26.4,44745.0
Midwest,26.8,33799.0
Northeast,26.9,63296.0
Midwest,27.1,49269.0
Midwest,27.1,35192.0
Midwest,27.4,29574.0
Midwest,27.4,14819.0
West,27.6,37112.0
Midwest,27.6,273597.0
Midwest,28.0,36571.0
Northeast,28.2,52986.0
Northeast,28.4,75676.0
Northeast,28.8,31064.0
Midwest,29.0,66867.0
Midwest,29.3,59919.0
Northeast,29.8,145377.0
West,30.0,46682.0
West,30.2,40871.0
Northeast,31.0,53592.0
Northeast,31.2,38490.0
Northeast,31.2,96159.0
West,31.3,87658.0
Midwest,31.4,53905.0
Northeast,31.4,30717.0
West,31.6,125643.0
Midwest,32.0,31175.0
Northeast,32.0,26520.0
Midwest,32.2,36095.0
Northeast,32.4,107386.0
Northeast,32.9,37196.0
Northeast,33.0,36746.0
Midwest,33.2,103089.0
Northeast,33.4,25510.0
Northeast,33.6,37829.0
Northeast,33.9,41799.0
Southeast,34.0,41282.0
West,34.2,53728.0
West,34.5,47700.0
Northeast,34.8,114181.0
Northeast,34.8,38729.0
Midwest,34.8,21606.0
Midwest,35.0,41317.0
West,35.0,48142.0
Midwest,35.0,65245.0
West,35.0,59172.0
West,35.3,41788.0
Northeast,35.4,36270.0
South,35.6,28938.0
Northeast,35.6,29905.0
