Date,Region,Total Sales
2021-01-01,Midwest,31568
2021-01-01,Midwest,36095
2021-01-01,West,47700
2021-01-01,West,790322
2021-01-01,Midwest,31175
2021-01-01,Midwest,22843
2021-01-01,Northeast,63296
2021-01-01,Northeast,25510
2021-01-01,West,48142
2021-01-01,Southeast,98336
2021-01-01,Northeast,30717
2021-01-01,South,34057
2021-01-01,Midwest,23198
2021-01-01,South,41064
2021-01-01,Southeast,90275
2021-01-01,Northeast,37829
2021-01-01,Northeast,29644
2021-01-01,Midwest,33799
2021-01-01,Northeast,36270
2021-01-01,Midwest,29574
2021-01-01,West,30688
2021-01-01,Midwest,30510
2021-01-01,West,37112
2021-01-01,Southeast,51716
2021-01-01,Southeast,62659
2021-01-01,West,57312
2021-01-01,Southeast,40575
2021-01-01,West,44745
2021-01-01,Northeast,61905
2021-01-01,South,28043
2021-01-01,Southeast,58856
2021-01-01,Northeast,57457
2021-01-01,Northeast,38321
2021-01-01,Midwest,34735
2021-01-01,Northeast,53592
2021-01-01,Northeast,37577
2021-01-01,South,29814
2021-01-01,Midwest,273597
2021-02-01,Southeast,60296
2021-02-01,Southeast,101263
2021-02-01,Midwest,35175
2021-02-01,Northeast,38729
2021-02-01,Midwest,30800
2021-02-01,Northeast,52986
2021-02-01,Midwest,24124
2021-02-01,Southeast,92598
2021-02-01,Midwest,36571
2021-02-01,Midwest,35192
2021-02-01,Northeast,63453
2021-02-01,West,44260
2021-02-01,Northeast,38490
2021-02-01,Northeast,26520
2021-02-01,Northeast,37196
2021-02-01,West,45862
2021-02-01,West,56192
2021-02-01,Northeast,66516
2021-02-01,Southeast,41282
2021-02-01,Midwest,303811
2021-02-01,West,33983
2021-02-01,South,30805
2021-02-01,Midwest,35307
2021-02-01,South,28938
2021-02-01,West,40871
2021-02-01,Northeast,63630
2021-02-01,West,373006
2021-02-01,West,53728
2021-02-01,Midwest,31560
2021-02-01,South,34782
2021-02-01,Southeast,53026
2021-02-01,Northeast,31064
2021-02-01,Northeast,30510
2021-02-01,South,45785
2021-02-01,Southeast,63829
2021-02-01,Midwest,24260
2021-02-01,Midwest,32692
2021-03-01,South,70460
2021-03-01,South,131677
2021-03-01,Midwest,17135
2021-03-01,Southeast,41028
2021-03-01,West,70900
2021-03-01,Midwest,14819
2021-03-01,Midwest,21606
2021-03-01,Midwest,32979
2021-03-01,Northeast,51446
2021-03-01,West,41788
2021-03-01,Southeast,66914
2021-03-01,Northeast,25222
2021-03-01,Southeast,51267
2021-03-01,West,62671
2021-03-01,West,56461
2021-03-01,Northeast,41799
2021-03-01,South,20925
2021-03-01,South,36424
2021-03-01,Midwest,24300
2021-03-01,Midwest,14860
2021-03-01,Midwest,41317
2021-03-01,Northeast,37739
2021-03-01,South,24524
2021-03-01,Midwest,49269
2021-03-01,Midwest,38959
2021-03-01,Northeast,75676
2021-03-01,West,217740
2021-03-01,Southeast,82257
2021-03-01,Northeast,29905
2021-03-01,Midwest,101662
2021-03-01,Northeast,28974
2021-03-01,Southeast,60082
2021-03-01,Northeast,62127
2021-03-01,Northeast,36746
2021-03-01,West,56367
2021-03-01,Southeast,58091
2021-03-01,West,46682
2021-03-01,Northeast,29949
2021-04-01,Northeast,55917
2021-04-01,South,25480
2021-04-01,Midwest,31871
2021-04-01,Northeast,23016
2021-04-01,West,69286
2021-04-01,Midwest,38368
2021-04-01,Midwest,28099
2021-04-01,South,33402
2021-04-01,Midwest,48312
2021-04-01,South,70335
2021-04-01,Northeast,26816
2021-04-01,Northeast,33429
2021-04-01,Southeast,64707
2021-04-01,Northeast,26746
2021-04-01,Southeast,35116
2021-04-01,South,454972
2021-04-01,West,34834
2021-04-01,Southeast,94731
2021-04-01,Midwest,19103
2021-04-01,Southeast,68656
2021-04-01,West,38194
2021-04-01,Northeast,26653
2021-04-01,Northeast,46087
2021-04-01,West,81409
2021-04-01,West,436639
2021-04-01,Midwest,14260
2021-04-01,West,59172
2021-04-01,Northeast,71084
2021-04-01,Southeast,67178
2021-04-01,Northeast,34059
2021-04-01,West,67756
2021-04-01,Midwest,20443
2021-04-01,Midwest,13065
2021-04-01,Midwest,19940
2021-04-01,Northeast,38644
2021-04-01,Southeast,47731
2021-04-01,South,29484
2021-05-01,Southeast,77510
2021-05-01,Northeast,45089
2021-05-01,Northeast,55615
2021-05-01,Midwest,69046
2021-05-01,Southeast,65258
2021-05-01,Southeast,93052
2021-05-01,Midwest,45214
2021-05-01,South,300114
2021-05-01,Northeast,58171
2021-05-01,West,611892
2021-05-01,Midwest,76913
2021-05-01,Northeast,56330
2021-05-01,Northeast,96240
2021-05-01,West,66646
2021-05-01,South,66130
2021-05-01,Northeast,47587
2021-05-01,West,42121
2021-05-01,Northeast,36649
2021-05-01,Midwest,25889
2021-05-01,Midwest,38778
2021-05-01,Northeast,86074
2021-05-01,West,48445
2021-05-01,Southeast,43848
2021-05-01,West,73563
2021-05-01,Southeast,83864
2021-05-01,Midwest,47615
2021-05-01,Midwest,48304
2021-05-01,West,87453
2021-05-01,Midwest,43343
2021-05-01,South,67782
2021-05-01,Northeast,63495
2021-05-01,Midwest,51335
2021-05-01,South,58344
2021-05-01,Midwest,45682
2021-05-01,Southeast,107021
2021-05-01,Northeast,73393
2021-05-01,West,77725
2021-05-01,South,49273
2021-06-01,West,79840
2021-06-01,South,55129
2021-06-01,Southeast,100140
2021-06-01,South,83561
2021-06-01,West,14537
2021-06-01,West,85106
2021-06-01,South,64340
2021-06-01,Midwest,145641
2021-06-01,Midwest,84575
2021-06-01,Midwest,30618
2021-06-01,Midwest,38350
2021-06-01,Midwest,43325
2021-06-01,Northeast,105217
2021-06-01,Midwest,32120
2021-06-01,Southeast,34430
2021-06-01,Midwest,28909
2021-06-01,Midwest,36763
2021-06-01,West,41313
2021-06-01,West,106303
2021-06-01,South,163815
2021-06-01,Midwest,35930
2021-06-01,Southeast,120245
2021-06-01,Midwest,198894
2021-06-01,Northeast,71878
2021-06-01,West,93665
2021-06-01,Northeast,81154
2021-06-01,Southeast,141893
2021-06-01,West,142185
2021-06-01,Midwest,86494
2021-06-01,Northeast,63668
2021-06-01,Northeast,46623
2021-06-01,Southeast,171407
2021-06-01,Northeast,39613
2021-06-01,Northeast,63979
2021-06-01,Northeast,91951
2021-06-01,Northeast,54224
2021-06-01,Northeast,50641
2021-06-01,Southeast,91372
2021-07-01,West,111329
2021-07-01,Northeast,55082
2021-07-01,Northeast,119317
2021-07-01,Northeast,100267
2021-07-01,Midwest,46363
2021-07-01,Southeast,136153
2021-07-01,Midwest,114824
2021-07-01,Midwest,136568
2021-07-01,Midwest,53770
2021-07-01,West,60730
2021-07-01,Midwest,50830
2021-07-01,Midwest,219391
2021-07-01,Northeast,85338
2021-07-01,West,125194
2021-07-01,Southeast,96797
2021-07-01,Southeast,195763
2021-07-01,Southeast,222749
2021-07-01,Northeast,70062
2021-07-01,Northeast,66702
2021-07-01,Northeast,75553
2021-07-01,Midwest,45523
2021-07-01,South,94991
2021-07-01,West,91025
2021-07-01,West,82356
2021-07-01,Midwest,45710
2021-07-01,Midwest,66440
2021-07-01,Southeast,51518
2021-07-01,Northeast,65807
2021-07-01,Midwest,45995
2021-07-01,South,83167
2021-07-01,South,221822
2021-07-01,South,116683
2021-07-01,Southeast,152366
2021-07-01,Northeast,42888
2021-07-01,Northeast,57516
2021-07-01,West,197379
2021-07-01,Midwest,103533
2021-08-01,West,81919
2021-08-01,South,88869
2021-08-01,Midwest,44702
2021-08-01,Southeast,136628
2021-08-01,West,175374
2021-08-01,Midwest,44009
2021-08-01,South,142559
2021-08-01,Southeast,180080
2021-08-01,Northeast,56393
2021-08-01,Northeast,84722
2021-08-01,Southeast,150262
2021-08-01,Midwest,44343
2021-08-01,Midwest,110358
2021-08-01,Northeast,47582
2021-08-01,West,60056
2021-08-01,South,195811
2021-08-01,Northeast,64059
2021-08-01,South,100391
2021-08-01,Midwest,71878
2021-08-01,Northeast,95871
2021-08-01,Midwest,35471
2021-08-01,West,125659
2021-08-01,Midwest,53554
2021-08-01,Northeast,53234
2021-08-01,Northeast,72409
2021-08-01,South,111965
2021-08-01,South,197875
2021-08-01,Midwest,98888
2021-08-01,Southeast,201685
2021-08-01,Northeast,65252
2021-08-01,Southeast,96822
2021-08-01,Southeast,50312
2021-08-01,Midwest,104898
2021-08-01,Northeast,41819
2021-08-01,Midwest,44466
2021-08-01,Midwest,44048
2021-08-01,West,86992
2021-08-01,West,107994
2021-08-01,Northeast,119588
2021-09-01,South,68083
2021-09-01,Midwest,30415
2021-09-01,Midwest,26516
2021-09-01,Midwest,68174
2021-09-01,Southeast,87775
2021-09-01,West,52590
2021-09-01,South,54244
2021-09-01,Northeast,32368
2021-09-01,Northeast,48722
2021-09-01,Southeast,42846
2021-09-01,Southeast,107460
2021-09-01,Northeast,47171
2021-09-01,Northeast,89058
2021-09-01,Southeast,70734
2021-09-01,Southeast,71304
2021-09-01,Northeast,38735
2021-09-01,Southeast,51120
2021-09-01,West,34699
2021-09-01,West,76190
2021-09-01,Midwest,32118
2021-09-01,Midwest,34992
2021-09-01,West,68721
2021-09-01,West,82920
2021-09-01,Midwest,68924
2021-09-01,Northeast,63754
2021-09-01,Northeast,38442
2021-09-01,Midwest,26150
2021-09-01,Northeast,75683
2021-09-01,West,114776
2021-09-01,South,56806
2021-09-01,Northeast,33889
2021-09-01,South,519894
2021-09-01,South,459045
2021-09-01,Northeast,54881
2021-09-01,South,49143
2021-09-01,Midwest,26698
2021-09-01,Midwest,40130
2021-10-01,Northeast,125818
2021-10-01,Southeast,65824
2021-10-01,Midwest,29221
2021-10-01,Midwest,29391
2021-10-01,Midwest,24345
2021-10-01,Southeast,103416
2021-10-01,Southeast,59105
2021-10-01,West,69587
2021-10-01,Midwest,36171
2021-10-01,Northeast,63855
2021-10-01,Southeast,41323
2021-10-01,South,47332
2021-10-01,South,368672
2021-10-01,West,35741
2021-10-01,Midwest,30758
2021-10-01,Northeast,68596
2021-10-01,Midwest,52172
2021-10-01,Midwest,27230
2021-10-01,South,34896
2021-10-01,Midwest,33204
2021-10-01,Southeast,47719
2021-10-01,South,29839
2021-10-01,Northeast,55123
2021-10-01,Northeast,39113
2021-10-01,South,48448
2021-10-01,West,69275
2021-10-01,Northeast,31416
2021-10-01,South,213421
2021-10-01,Midwest,70076
2021-10-01,West,47046
2021-10-01,West,80475
2021-10-01,Northeast,40724
2021-10-01,Northeast,49268
2021-10-01,Southeast,74890
